Age,Experience,Education,JobLevel,Department,JobRole,PerformanceRating,ProjectsCompleted,Certifications,WeeklyHours,OvertimeHours,TeamSize,LeadershipScore,SkillMatchScore,YearsInRole,Promotions,EmploymentType,LocationType,CompanySize,JobSatisfaction,Salary_INR
30.0,10.0,PhD,Senior,IT,Analyst,3.0,21.0,,52.0,12.0,9.0,8.2,55.9,4.0,2.0,Full-Time,Office,MNC,5.0,1078866.57
51.0,30.0,MTech,Junior,HR,Analyst,5.0,19.0,0.0,45.0,2.0,10.0,3.2,54.9,1.0,3.0,Full-Time,Remote,Startup,5.0,1965253.88
30.0,7.0,MTech,Senior,Finance,Manager,1.0,38.0,6.0,35.0,12.0,6.0,8.3,94.6,5.0,2.0,Contract,Office,MNC,5.0,888419.94
41.0,19.0,MTech,Senior,Sales,Developer,3.0,33.0,6.0,49.0,12.0,12.0,6.8,56.9,2.0,2.0,Contract,Hybrid,Startup,4.0,1415147.87
32.0,11.0,BCA,Mid,Sales,Manager,5.0,10.0,0.0,41.0,13.0,13.0,8.6,97.4,2.0,2.0,Contract,Hybrid,Startup,1.0,1208937.72
34.0,14.0,BTech,Junior,IT,Manager,5.0,11.0,,40.0,7.0,9.0,1.7,54.2,3.0,0.0,Contract,Hybrid,MNC,4.0,1212427.24
53.0,31.0,BTech,Mid,Sales,Developer,5.0,31.0,3.0,40.0,0.0,6.0,4.5,99.3,4.0,3.0,Full-Time,Remote,MNC,4.0,2098411.51
45.0,25.0,BCA,Mid,Sales,Manager,1.0,5.0,0.0,150.0,0.0,3.0,8.5,71.2,6.0,3.0,Contract,Office,Startup,5.0,1805547.64
22.0,0.0,BTech,Junior,IT,Manager,4.0,21.0,0.0,49.0,5.0,6.0,1.5,65.6,6.0,1.0,Contract,Office,Startup,5.0,500710.19
31.0,10.0,MTech,Senior,IT,Analyst,1.0,37.0,3.0,38.0,7.0,7.0,4.6,97.7,5.0,2.0,Full-Time,Hybrid,MNC,1.0,889163.85
30.0,7.0,MTech,Senior,IT,Manager,4.0,35.0,7.0,40.0,13.0,4.0,2.6,68.2,2.0,3.0,Full-Time,Hybrid,MNC,5.0,788599.84
41.0,18.0,PhD,Senior,HR,Developer,1.0,2.0,4.0,41.0,13.0,2.0,2.9,96.6,6.0,3.0,Contract,Hybrid,MNC,3.0,1261826.11
50.0,30.0,PhD,Senior,IT,Analyst,5.0,15.0,1.0,58.0,11.0,14.0,7.4,78.8,7.0,3.0,Contract,Office,Startup,4.0,2070003.12
29.0,6.0,MTech,Junior,Finance,Analyst,3.0,15.0,2.0,45.0,13.0,7.0,1.7,71.3,1.0,1.0,Full-Time,Office,Startup,1.0,743026.77
32.0,12.0,BCA,Mid,Sales,Manager,2.0,23.0,5.0,39.0,3.0,10.0,9.7,89.0,1.0,2.0,Full-Time,Hybrid,MNC,5.0,1123993.06
31.0,9.0,MTech,Mid,Finance,Developer,1.0,8.0,2.0,53.0,5.0,10.0,7.7,73.2,3.0,3.0,Contract,Remote,Startup,1.0,947192.69
40.0,18.0,BCA,Senior,HR,Developer,2.0,15.0,5.0,39.0,1.0,12.0,7.9,90.8,2.0,1.0,Full-Time,Office,Startup,1.0,1344738.88
29.0,6.0,BCA,Junior,Sales,Analyst,2.0,29.0,2.0,47.0,0.0,13.0,5.8,99.9,1.0,2.0,Contract,Office,Startup,3.0,784370.31
37.0,17.0,MTech,Mid,HR,Manager,5.0,27.0,0.0,59.0,8.0,6.0,2.8,73.2,4.0,3.0,Contract,Remote,Startup,4.0,1323444.77
22.0,0.0,PhD,Junior,Sales,Developer,2.0,36.0,4.0,58.0,7.0,7.0,1.0,71.9,3.0,2.0,Contract,Remote,Startup,5.0,358387.2
34.0,13.0,BTech,Senior,IT,Manager,3.0,33.0,3.0,50.0,8.0,11.0,7.1,76.8,7.0,0.0,Full-Time,Remote,Startup,2.0,1230822.93
39.0,17.0,MTech,Senior,HR,Developer,2.0,37.0,6.0,52.0,13.0,2.0,9.1,50.4,6.0,3.0,Full-Time,Office,MNC,2.0,1372337.83
33.0,10.0,BTech,Senior,IT,Developer,2.0,4.0,,37.0,10.0,6.0,1.2,54.4,6.0,2.0,Full-Time,Office,MNC,5.0,883345.05
37.0,14.0,BTech,Mid,Sales,Analyst,1.0,10.0,6.0,39.0,10.0,10.0,6.6,90.3,4.0,0.0,Full-Time,Office,Startup,5.0,1153422.76
51.0,29.0,PhD,Mid,IT,Analyst,1.0,28.0,5.0,58.0,8.0,14.0,7.6,69.5,4.0,0.0,Full-Time,Office,Startup,4.0,1965931.91
46.0,23.0,MTech,Mid,IT,Analyst,2.0,10.0,7.0,58.0,8.0,12.0,2.4,80.6,4.0,3.0,Contract,Remote,Startup,4.0,1510342.44
41.0,21.0,PhD,Junior,HR,Manager,,11.0,2.0,56.0,0.0,6.0,9.1,68.3,3.0,1.0,Contract,Office,Startup,5.0,1655369.37
52.0,29.0,MTech,Junior,IT,Developer,3.0,17.0,4.0,57.0,13.0,8.0,6.0,87.6,4.0,0.0,Full-Time,Office,Startup,4.0,1987258.8
32.0,9.0,BCA,Junior,Sales,Analyst,5.0,25.0,3.0,52.0,7.0,7.0,5.9,51.7,3.0,2.0,Full-Time,Remote,Startup,4.0,1032065.35
42.0,21.0,BTech,Senior,IT,Analyst,5.0,33.0,5.0,54.0,12.0,14.0,5.1,80.1,4.0,0.0,Contract,Hybrid,Startup,2.0,1489195.15
49.0,27.0,MTech,Senior,Sales,Analyst,4.0,9.0,5.0,40.0,0.0,12.0,8.6,57.9,5.0,1.0,Full-Time,Remote,Startup,1.0,1913467.78
30.0,9.0,PhD,Senior,Sales,Manager,4.0,22.0,5.0,36.0,8.0,13.0,6.1,62.5,3.0,1.0,Contract,Hybrid,MNC,5.0,1023843.37
44.0,24.0,MTech,Senior,HR,Developer,4.0,17.0,7.0,56.0,14.0,9.0,2.8,79.4,4.0,1.0,Contract,Hybrid,Startup,2.0,1627541.74
48.0,28.0,BTech,Senior,IT,Developer,4.0,2.0,4.0,36.0,5.0,10.0,9.1,59.6,7.0,0.0,Full-Time,Hybrid,MNC,4.0,2020364.55
45.0,25.0,BTech,Senior,IT,Developer,,28.0,3.0,45.0,13.0,7.0,1.7,79.6,2.0,0.0,Full-Time,Office,MNC,5.0,1641422.62
44.0,21.0,BCA,Junior,HR,Developer,2.0,39.0,2.0,37.0,12.0,11.0,8.6,50.7,5.0,0.0,Full-Time,Office,Startup,5.0,1550901.97
31.0,8.0,MTech,Mid,IT,Developer,4.0,12.0,5.0,56.0,11.0,11.0,3.3,50.2,6.0,2.0,Full-Time,Hybrid,Startup,1.0,853330.54
24.0,2.0,BTech,Junior,IT,Analyst,5.0,24.0,7.0,39.0,12.0,8.0,2.1,50.7,5.0,0.0,Full-Time,Hybrid,Startup,4.0,513826.39
40.0,17.0,MTech,Mid,IT,Manager,4.0,20.0,7.0,40.0,14.0,12.0,7.4,77.5,5.0,1.0,Contract,Hybrid,MNC,3.0,1478543.84
50.0,27.0,BCA,Mid,Finance,Developer,4.0,12.0,0.0,52.0,11.0,6.0,8.8,85.6,1.0,1.0,Full-Time,Office,MNC,1.0,1985152.6
33.0,10.0,BTech,Junior,Finance,Analyst,5.0,2.0,2.0,53.0,2.0,4.0,4.1,56.6,7.0,0.0,Full-Time,Remote,Startup,4.0,996078.9
32.0,9.0,PhD,Junior,Sales,Analyst,2.0,15.0,7.0,51.0,0.0,2.0,5.4,70.6,7.0,3.0,Full-Time,Hybrid,MNC,5.0,873176.05
52.0,30.0,PhD,Senior,HR,Analyst,5.0,33.0,1.0,46.0,4.0,13.0,7.9,74.0,1.0,2.0,Contract,Office,MNC,4.0,2067365.41
50.0,29.0,BTech,Mid,IT,Manager,2.0,6.0,6.0,37.0,8.0,3.0,1.4,58.2,7.0,0.0,Full-Time,,MNC,5.0,1932056.04
25.0,4.0,BTech,Mid,IT,Manager,5.0,8.0,2.0,55.0,10.0,5.0,6.5,72.4,1.0,2.0,Full-Time,Office,Startup,2.0,833938.42
41.0,19.0,PhD,Senior,Sales,Analyst,2.0,29.0,0.0,58.0,5.0,12.0,6.9,62.7,2.0,3.0,Full-Time,Office,Startup,4.0,1415684.29
42.0,21.0,BCA,Mid,Sales,Manager,3.0,32.0,1.0,55.0,0.0,14.0,3.6,77.9,4.0,3.0,Full-Time,Remote,Startup,1.0,1528654.32
36.0,14.0,BCA,Junior,IT,Developer,1.0,9.0,3.0,41.0,10.0,2.0,6.6,82.2,5.0,1.0,Full-Time,Hybrid,MNC,5.0,1158239.68
27.0,6.0,BCA,Mid,Sales,Analyst,2.0,29.0,4.0,55.0,1.0,14.0,6.6,60.4,3.0,2.0,Contract,Office,Startup,5.0,745081.39
27.0,4.0,MTech,Junior,Finance,Developer,3.0,33.0,0.0,54.0,4.0,4.0,8.9,50.2,7.0,3.0,Full-Time,Remote,MNC,2.0,809869.1
28.0,8.0,MTech,Senior,Finance,Developer,5.0,22.0,3.0,39.0,10.0,4.0,5.7,59.1,4.0,0.0,Full-Time,Hybrid,Startup,1.0,907677.04
46.0,25.0,MTech,Senior,IT,Analyst,4.0,16.0,1.0,48.0,2.0,8.0,1.9,67.7,3.0,1.0,Contract,Office,MNC,2.0,1718027.4
29.0,6.0,PhD,Junior,Sales,Manager,3.0,19.0,,41.0,6.0,7.0,4.2,84.5,4.0,2.0,Contract,Remote,MNC,5.0,842810.99
26.0,4.0,MTech,Senior,HR,Analyst,5.0,32.0,,38.0,13.0,7.0,5.6,95.1,2.0,0.0,Contract,Office,MNC,4.0,809282.53
45.0,23.0,BTech,Mid,IT,Manager,5.0,27.0,2.0,45.0,9.0,6.0,7.3,78.6,1.0,0.0,Full-Time,Hybrid,MNC,5.0,1743960.79
37.0,17.0,PhD,Senior,HR,Analyst,1.0,39.0,1.0,38.0,12.0,12.0,10.0,55.7,6.0,3.0,Contract,Remote,MNC,5.0,1356811.71
25.0,4.0,MTech,Mid,HR,Manager,1.0,12.0,,42.0,12.0,12.0,7.1,92.5,1.0,2.0,Contract,Remote,MNC,5.0,806824.81
40.0,20.0,BCA,Junior,Finance,Manager,2.0,38.0,5.0,41.0,13.0,3.0,9.8,58.6,5.0,3.0,Full-Time,Hybrid,MNC,1.0,1593117.44
35.0,14.0,BTech,Senior,Sales,Analyst,3.0,34.0,1.0,40.0,7.0,5.0,1.6,61.8,1.0,1.0,Contract,Remote,Startup,3.0,1155831.7
25.0,2.0,BTech,Mid,Finance,Analyst,5.0,21.0,6.0,40.0,2.0,13.0,1.6,67.1,6.0,3.0,Full-Time,Hybrid,Startup,2.0,527927.36
51.0,31.0,BCA,Junior,Finance,Analyst,4.0,20.0,2.0,44.0,1.0,11.0,5.2,83.3,2.0,2.0,Full-Time,Remote,Startup,4.0,1996881.67
44.0,22.0,BCA,Senior,IT,Developer,3.0,31.0,6.0,42.0,9.0,14.0,6.3,91.5,4.0,3.0,Contract,Hybrid,MNC,5.0,1564539.07
43.0,22.0,PhD,Junior,Finance,Analyst,4.0,38.0,6.0,45.0,7.0,8.0,2.6,76.2,4.0,1.0,Contract,Office,Startup,2.0,1529278.66
43.0,20.0,BCA,Senior,Sales,Analyst,,7.0,4.0,54.0,11.0,13.0,4.6,94.9,6.0,2.0,Full-Time,Remote,Startup,4.0,1486052.47
39.0,19.0,MTech,Junior,HR,Analyst,5.0,37.0,6.0,51.0,1.0,10.0,6.0,55.6,2.0,2.0,Full-Time,Hybrid,Startup,4.0,1553808.81
45.0,23.0,BTech,Mid,IT,Analyst,4.0,19.0,1.0,59.0,4.0,14.0,2.8,82.4,3.0,1.0,Full-Time,Office,Startup,1.0,1669681.09
52.0,29.0,PhD,Senior,Finance,Manager,3.0,21.0,3.0,58.0,14.0,8.0,9.8,81.3,1.0,2.0,Contract,Remote,Startup,1.0,2104417.04
29.0,6.0,PhD,Junior,HR,Developer,3.0,31.0,0.0,36.0,7.0,6.0,2.9,88.0,3.0,2.0,Contract,Office,MNC,5.0,713264.25
42.0,22.0,BCA,Junior,IT,Analyst,5.0,22.0,0.0,43.0,6.0,7.0,4.1,64.9,4.0,3.0,Full-Time,Hybrid,MNC,5.0,1621202.9
49.0,27.0,MTech,Mid,HR,Manager,4.0,30.0,3.0,57.0,3.0,13.0,9.8,99.8,1.0,1.0,Contract,Office,MNC,5.0,1961626.24
33.0,13.0,PhD,Mid,HR,Developer,2.0,2.0,5.0,42.0,14.0,13.0,4.4,79.3,6.0,1.0,Full-Time,Office,Startup,4.0,1157688.47
27.0,6.0,MTech,Senior,HR,Analyst,3.0,36.0,0.0,42.0,9.0,2.0,6.5,73.2,4.0,0.0,Full-Time,Hybrid,Startup,3.0,810867.02
44.0,22.0,PhD,Senior,Finance,Developer,3.0,38.0,2.0,43.0,3.0,10.0,1.3,82.4,2.0,0.0,Full-Time,,Startup,4.0,1557900.11
47.0,26.0,BCA,Senior,HR,Manager,4.0,21.0,1.0,43.0,14.0,4.0,3.1,98.6,6.0,1.0,Full-Time,Office,MNC,5.0,1830668.1
40.0,19.0,BCA,Mid,Sales,Developer,3.0,19.0,6.0,43.0,9.0,2.0,3.2,51.0,3.0,2.0,Contract,Hybrid,Startup,4.0,1396897.21
35.0,14.0,BTech,Junior,HR,Manager,,25.0,6.0,52.0,0.0,11.0,9.2,89.9,7.0,3.0,Contract,Remote,Startup,2.0,1344813.38
25.0,5.0,BTech,Senior,HR,Analyst,5.0,33.0,5.0,55.0,6.0,13.0,5.0,66.8,2.0,3.0,Contract,Hybrid,Startup,1.0,682262.04
36.0,15.0,MTech,Mid,Sales,Analyst,4.0,38.0,2.0,51.0,5.0,7.0,3.5,54.9,5.0,1.0,Full-Time,Hybrid,Startup,5.0,1209344.1
45.0,22.0,PhD,Senior,Sales,Analyst,3.0,17.0,4.0,45.0,6.0,10.0,6.7,53.1,5.0,2.0,Contract,Hybrid,Startup,1.0,1559496.58
35.0,12.0,PhD,Senior,Finance,Manager,,15.0,0.0,50.0,3.0,9.0,5.2,71.2,5.0,3.0,Contract,Office,MNC,4.0,1192667.68
46.0,26.0,MTech,Senior,HR,Analyst,1.0,29.0,1.0,56.0,9.0,3.0,5.7,97.6,5.0,2.0,Contract,Remote,MNC,2.0,1700770.52
42.0,20.0,BCA,Mid,Sales,Developer,2.0,4.0,2.0,49.0,9.0,7.0,6.8,72.2,4.0,3.0,Contract,Remote,Startup,2.0,1453594.79
22.0,0.0,MTech,Senior,HR,Manager,4.0,7.0,2.0,39.0,2.0,14.0,8.5,58.5,1.0,3.0,Full-Time,Office,MNC,5.0,685979.22
51.0,28.0,BCA,Junior,HR,Analyst,5.0,3.0,2.0,37.0,6.0,14.0,3.9,94.4,6.0,0.0,Full-Time,Hybrid,MNC,1.0,1934851.84
33.0,13.0,MTech,Mid,IT,Manager,3.0,37.0,,38.0,0.0,11.0,7.7,82.2,7.0,2.0,Contract,Office,Startup,2.0,1263748.26
49.0,29.0,MTech,Mid,Finance,Manager,3.0,2.0,7.0,43.0,9.0,14.0,1.4,91.7,1.0,1.0,Full-Time,Office,MNC,4.0,1913394.1
46.0,24.0,PhD,Junior,IT,Manager,,3.0,,36.0,9.0,12.0,2.7,73.1,3.0,3.0,Full-Time,Remote,MNC,3.0,1709705.65
31.0,9.0,MTech,Senior,HR,Analyst,2.0,6.0,0.0,53.0,4.0,6.0,6.8,64.4,6.0,1.0,Contract,Hybrid,Startup,3.0,943823.8
25.0,4.0,MTech,Junior,HR,Analyst,2.0,11.0,4.0,40.0,14.0,8.0,4.7,52.8,1.0,0.0,Contract,Remote,Startup,2.0,658237.23
23.0,0.0,BCA,Mid,Sales,Developer,,36.0,2.0,45.0,11.0,7.0,2.2,52.0,6.0,3.0,Contract,Office,MNC,3.0,475840.93
37.0,15.0,BCA,Senior,IT,Analyst,1.0,12.0,4.0,37.0,10.0,13.0,3.9,70.1,5.0,1.0,Contract,Office,Startup,2.0,1139791.15
26.0,5.0,BTech,Junior,IT,Manager,2.0,29.0,0.0,42.0,11.0,4.0,4.5,88.4,2.0,0.0,Contract,Office,MNC,3.0,812499.17
26.0,3.0,BTech,Senior,IT,Developer,2.0,21.0,7.0,54.0,12.0,5.0,1.9,67.4,4.0,3.0,Full-Time,Hybrid,Startup,5.0,410637.2
40.0,18.0,PhD,Senior,Sales,Manager,,9.0,5.0,46.0,4.0,12.0,1.3,50.4,3.0,2.0,Full-Time,Office,MNC,3.0,1363453.49
36.0,16.0,BTech,Mid,IT,Manager,2.0,11.0,4.0,50.0,8.0,12.0,2.5,98.6,3.0,3.0,Contract,Remote,Startup,3.0,1275418.2
50.0,28.0,PhD,Senior,Finance,Analyst,1.0,8.0,5.0,39.0,9.0,3.0,3.1,80.1,1.0,0.0,Full-Time,Hybrid,Startup,3.0,1735306.89
39.0,17.0,PhD,Mid,HR,Manager,5.0,29.0,0.0,38.0,1.0,4.0,9.6,95.2,3.0,1.0,Contract,Hybrid,MNC,3.0,1462601.06
45.0,25.0,BTech,Junior,IT,Developer,5.0,12.0,2.0,43.0,9.0,4.0,2.1,87.9,1.0,2.0,Full-Time,Office,Startup,5.0,1706725.69
38.0,18.0,BCA,Mid,IT,Analyst,1.0,18.0,3.0,48.0,0.0,8.0,2.1,67.8,3.0,0.0,Full-Time,Office,Startup,4.0,1359063.95
28.0,7.0,MTech,Junior,IT,Manager,1.0,14.0,5.0,36.0,9.0,11.0,6.8,70.2,1.0,1.0,Contract,Office,MNC,3.0,845900.69
29.0,9.0,MTech,Senior,IT,Analyst,3.0,3.0,1.0,59.0,13.0,6.0,5.7,91.2,6.0,2.0,Contract,Hybrid,MNC,4.0,925506.62
42.0,22.0,PhD,Senior,Sales,Developer,3.0,30.0,5.0,56.0,4.0,5.0,3.4,58.4,6.0,0.0,Contract,Remote,Startup,4.0,1499293.87
32.0,12.0,BCA,Junior,Sales,Developer,2.0,3.0,4.0,56.0,9.0,7.0,2.4,85.1,4.0,0.0,Full-Time,Remote,Startup,4.0,930739.9
54.0,32.0,BCA,Mid,Sales,Developer,2.0,3.0,3.0,45.0,1.0,12.0,9.5,90.8,3.0,3.0,Contract,Hybrid,MNC,3.0,2092377.88
45.0,25.0,BCA,Senior,Finance,Analyst,,5.0,4.0,42.0,13.0,12.0,4.9,65.3,1.0,2.0,Full-Time,Remote,Startup,2.0,1711025.7
44.0,22.0,MTech,Mid,HR,Developer,1.0,35.0,5.0,36.0,7.0,6.0,5.5,88.3,1.0,1.0,Contract,Remote,Startup,2.0,1522891.63
43.0,22.0,PhD,Mid,Finance,Manager,3.0,27.0,3.0,47.0,14.0,8.0,7.4,80.2,6.0,2.0,Contract,Remote,Startup,3.0,1670678.47
48.0,28.0,BTech,Mid,HR,Analyst,4.0,39.0,5.0,49.0,6.0,7.0,6.4,97.7,2.0,1.0,Full-Time,Hybrid,Startup,2.0,1928798.75
34.0,13.0,PhD,Mid,Finance,Developer,4.0,11.0,4.0,43.0,2.0,14.0,8.1,66.7,5.0,0.0,Full-Time,Office,MNC,5.0,1189953.59
24.0,2.0,BCA,Junior,HR,Developer,4.0,34.0,5.0,38.0,3.0,2.0,2.8,71.6,5.0,1.0,Contract,Remote,MNC,3.0,610606.8
39.0,16.0,BTech,Junior,Sales,Analyst,2.0,37.0,5.0,39.0,7.0,2.0,4.9,76.3,3.0,0.0,Full-Time,Remote,Startup,4.0,1291303.73
23.0,1.0,BCA,Senior,HR,Manager,4.0,39.0,2.0,38.0,1.0,11.0,7.4,82.7,4.0,3.0,Contract,Remote,Startup,2.0,660039.14
47.0,24.0,PhD,Senior,HR,Manager,3.0,16.0,7.0,42.0,5.0,10.0,2.9,98.4,4.0,2.0,Full-Time,Remote,Startup,1.0,1671865.91
24.0,4.0,PhD,Mid,Finance,Analyst,5.0,33.0,6.0,35.0,8.0,5.0,2.5,51.2,5.0,3.0,Contract,,MNC,4.0,722923.35
38.0,18.0,MTech,Mid,IT,Analyst,4.0,34.0,1.0,37.0,6.0,2.0,6.4,93.8,7.0,0.0,Full-Time,Remote,Startup,5.0,1404575.59
24.0,2.0,BTech,Mid,HR,Analyst,3.0,34.0,6.0,36.0,14.0,12.0,2.2,88.6,3.0,2.0,Contract,Office,MNC,1.0,462928.39
46.0,25.0,BTech,Mid,HR,Manager,3.0,32.0,3.0,40.0,7.0,10.0,6.1,98.6,4.0,1.0,Full-Time,Remote,Startup,3.0,1805868.66
37.0,17.0,MTech,Junior,IT,Analyst,1.0,16.0,7.0,51.0,7.0,4.0,8.8,80.7,6.0,1.0,Full-Time,Office,MNC,1.0,1416588.81
51.0,31.0,BCA,Mid,HR,Analyst,,13.0,2.0,46.0,13.0,10.0,2.6,92.6,4.0,1.0,Contract,Hybrid,Startup,1.0,2019587.82
28.0,6.0,MTech,Senior,Finance,Manager,3.0,25.0,4.0,54.0,5.0,11.0,9.3,91.1,7.0,2.0,Contract,Hybrid,Startup,2.0,847275.29
50.0,28.0,PhD,Mid,Finance,Developer,1.0,3.0,4.0,56.0,11.0,5.0,3.7,85.9,6.0,3.0,Full-Time,Remote,Startup,3.0,1845469.72
44.0,23.0,BCA,Mid,IT,Developer,1.0,20.0,7.0,59.0,0.0,13.0,6.7,89.3,5.0,1.0,Full-Time,Remote,MNC,4.0,1624376.52
42.0,21.0,BCA,Senior,Finance,Analyst,2.0,14.0,,45.0,12.0,3.0,5.6,69.3,7.0,2.0,Contract,Office,MNC,2.0,1572492.25
47.0,24.0,PhD,Junior,HR,Analyst,4.0,11.0,3.0,59.0,3.0,14.0,4.7,83.5,4.0,2.0,Full-Time,Hybrid,MNC,2.0,1746123.03
29.0,6.0,PhD,Junior,Finance,Manager,2.0,31.0,1.0,48.0,10.0,11.0,6.0,57.2,2.0,2.0,Contract,Hybrid,Startup,3.0,734320.45
30.0,8.0,BTech,Senior,Sales,Analyst,4.0,18.0,2.0,49.0,8.0,9.0,2.1,58.9,2.0,0.0,Contract,Hybrid,Startup,5.0,869108.3
38.0,15.0,MTech,Junior,Finance,Developer,2.0,2.0,1.0,45.0,13.0,3.0,10.0,55.2,3.0,0.0,Contract,Office,MNC,1.0,1297732.9
51.0,31.0,MTech,Senior,IT,Analyst,,23.0,3.0,36.0,9.0,5.0,5.7,81.4,5.0,1.0,Full-Time,Hybrid,Startup,3.0,2070740.9
22.0,2.0,MTech,Senior,HR,Analyst,3.0,3.0,3.0,58.0,7.0,14.0,9.7,64.6,4.0,0.0,Contract,Remote,Startup,1.0,624611.59
38.0,17.0,BCA,Junior,Sales,Analyst,3.0,20.0,5.0,46.0,2.0,11.0,3.9,89.3,2.0,3.0,Full-Time,Hybrid,MNC,3.0,1287517.42
47.0,25.0,BCA,Junior,HR,Manager,5.0,12.0,5.0,55.0,13.0,10.0,8.0,97.8,4.0,3.0,Contract,Remote,Startup,2.0,1909611.1
53.0,30.0,PhD,Mid,Sales,Manager,1.0,29.0,,38.0,3.0,10.0,5.4,90.7,7.0,3.0,Full-Time,Remote,MNC,4.0,1992518.69
33.0,10.0,BTech,Mid,IT,Analyst,4.0,37.0,1.0,35.0,7.0,3.0,4.8,87.4,5.0,3.0,Full-Time,Remote,MNC,4.0,1012363.23
30.0,7.0,PhD,Junior,IT,Manager,3.0,17.0,4.0,35.0,14.0,10.0,9.3,62.2,7.0,1.0,Full-Time,Remote,MNC,1.0,973901.63
33.0,12.0,BCA,Senior,Sales,Manager,2.0,21.0,2.0,52.0,11.0,10.0,6.7,67.1,2.0,0.0,Contract,Office,Startup,5.0,1124110.48
34.0,12.0,BTech,Senior,Sales,Analyst,5.0,28.0,3.0,38.0,10.0,7.0,8.2,51.4,2.0,0.0,Full-Time,Remote,Startup,5.0,1181453.39
37.0,17.0,BCA,Senior,Sales,Manager,3.0,8.0,3.0,38.0,2.0,4.0,5.5,69.9,4.0,2.0,Contract,Office,Startup,5.0,1430409.98
44.0,24.0,PhD,Senior,Finance,Analyst,2.0,11.0,5.0,35.0,14.0,11.0,8.1,51.7,1.0,0.0,Contract,Hybrid,Startup,5.0,1700310.65
24.0,2.0,MTech,Mid,Finance,Analyst,3.0,15.0,5.0,37.0,13.0,11.0,8.5,60.2,5.0,0.0,Full-Time,Remote,Startup,3.0,650836.67
23.0,2.0,BCA,Senior,Sales,Developer,5.0,15.0,1.0,58.0,8.0,7.0,9.6,95.3,7.0,0.0,Full-Time,Office,MNC,3.0,637822.38
53.0,31.0,BCA,Mid,Finance,Developer,1.0,15.0,4.0,58.0,9.0,13.0,1.0,59.2,3.0,3.0,Full-Time,Remote,MNC,4.0,1891558.8
37.0,14.0,BTech,Senior,Finance,Developer,4.0,37.0,7.0,51.0,5.0,6.0,3.1,76.0,3.0,0.0,Full-Time,Hybrid,Startup,4.0,1150376.22
43.0,21.0,BCA,Mid,Sales,Developer,1.0,33.0,7.0,51.0,14.0,12.0,7.5,72.8,6.0,1.0,Full-Time,Office,Startup,2.0,1513009.87
25.0,5.0,MTech,Mid,IT,Manager,5.0,6.0,5.0,40.0,3.0,14.0,8.4,95.2,2.0,2.0,Contract,Remote,Startup,4.0,850636.72
